날짜,시가,고가,저가,종가,거래량,거래대금,등락률
2012-10-19,9743,11190,9743,11190,207974,2370877400,14.85
2012-10-22,11190,11575,9646,9694,1290572,14264743100,-13.36
2012-10-23,9694,10225,8807,8903,746142,7257599550,-8.16
2012-10-24,8836,9241,8489,8566,249469,2281972780,-3.79
2012-10-25,8672,8894,8334,8450,189589,1689678650,-1.35
2012-10-26,8450,8614,7862,7871,168343,1412309780,-6.85
2012-10-29,7833,7948,6945,6945,215444,1632615180,-11.76
2012-10-30,6945,7987,6945,7987,322828,2605614240,15.0
2012-10-31,8267,8604,7621,7621,453417,3874539340,-4.59
2012-11-01,7765,8026,7379,7948,170340,1377031910,4.3
2012-11-02,8103,8238,7765,7862,121278,1004970000,-1.09
2012-11-05,7765,7900,7717,7813,131286,1062214910,-0.61
2012-11-06,7948,7948,7756,7756,54630,442446260,-0.74
2012-11-07,7756,8248,7756,8045,185237,1541518180,3.73
2012-11-08,7910,8151,7785,8064,101838,835513700,0.24
2012-11-09,8219,9270,8035,8035,1488952,13660924920,-0.36
2012-11-12,8064,8151,7900,7948,172309,1431850260,-1.08
2012-11-13,7948,8035,7379,7485,131672,1047361820,-5.83
2012-11-14,7341,7630,7293,7524,81078,626802940,0.52
2012-11-15,7399,7505,7080,7186,60195,453672150,-4.49
2012-11-16,7090,7360,6849,6907,65166,475611840,-3.89
2012-11-19,6945,7090,6849,6945,39471,285129980,0.56
2012-11-20,7003,7283,7003,7090,43454,321524800,2.08
2012-11-21,7100,7186,6868,6926,46755,338855700,-2.31
2012-11-22,6926,7051,6897,6907,32649,235107810,-0.28
2012-11-23,7138,7698,7042,7244,345185,2645223590,4.89
2012-11-26,7514,8276,7514,7958,552764,4599791560,9.85
2012-11-27,7968,7968,7341,7466,171334,1336591550,-6.18
2012-11-28,7466,7524,7331,7350,44355,339247550,-1.55
2012-11-29,7196,7485,7196,7235,96869,734283180,-1.57
2012-11-30,7235,7350,7235,7235,36441,274143750,0.0
2012-12-03,7312,7312,7109,7177,57991,432841480,-0.8
2012-12-04,7312,7331,7158,7235,65399,489979500,0.81
2012-12-05,7235,7244,7138,7148,76788,570155970,-1.2
2012-12-06,7138,7196,7129,7158,46138,342287690,0.13
2012-12-07,7148,7196,7138,7148,29084,215969860,-0.13
2012-12-10,7167,7215,7167,7186,26600,198322290,0.54
2012-12-11,7225,7225,7186,7206,30479,227688430,0.27
2012-12-12,7177,7206,7158,7167,27369,203400450,-0.54
2012-12-13,7148,7225,7138,7177,25525,190229800,0.13
